name_match,Facility Name,Wq_hours,lambda_per_hour,County_clean,implied_c,implied_c_rounded
HACKENSACK UNIVERSITY MC,HACKENSACK UNIVERSITY MEDICAL CENTER,3.283333333333333,9.678187088149082,BERGEN,3.9101944879397657,3.91
NEWARK BETH ISRAEL MC,NEWARK BETH ISRAEL MEDICAL CENTER,2.816666666666667,5.704789446981228,ESSEX,2.3665951358073585,2.37
PALISADES MC,PALISADES MEDICAL CENTER,3.45,7.172937595129376,HUDSON,2.9224351828078228,2.92
CLARA MAASS MC,CLARA MAASS MEDICAL CENTER,2.3,3.621422712667005,ESSEX,1.5779174599243624,1.58
MORRISTOWN MC,MORRISTOWN MEDICAL CENTER,4.0,6.027648178929201,MORRIS,2.4572434196847452,2.46
NEWTON MC,NEWTON MEDICAL CENTER,2.816666666666667,4.488812785388128,SUSSEX,1.8936956219259367,1.89
VIRTUA OUR LADY OF LOURDES HOSP,VIRTUA OUR LADY OF LOURDES HOSPITAL,2.683333333333333,3.6655097439465445,CAMDEN,1.5741920606255666,1.57
INSPIRA MC VINELAND,INSPIRA MEDICAL CENTER VINELAND,3.4,12.192122220799728,CUMBERLAND,4.892331677431731,4.89
RIVERVIEW MC,RIVERVIEW MEDICAL CENTER,3.433333333333333,4.194060213872713,MONMOUTH,1.7543329339292673,1.75
RARITAN BAY MC,RARITAN BAY MEDICAL CENTER,2.9,3.5833513105382373,MIDDLESEX,1.531992929484048,1.53
COMMUNITY MC,COMMUNITY MEDICAL CENTER,3.033333333333333,6.2561505603708865,OCEAN,2.575509390295229,2.58
OVERLOOK MC,OVERLOOK MEDICAL CENTER,3.2,8.843379420197516,UNION,3.5845165412588833,3.58
VIRTUA MOUNT HOLLY HOSP,VIRTUA MOUNT HOLLY HOSPITAL,3.45,5.957704870082387,BURLINGTON,2.4438283649436916,2.44
VIRTUA WILLINGBORO HOSP,VIRTUA WILLINGBORO HOSPITAL,3.0166666666666666,2.8451859796226784,BURLINGTON,1.2345435052513174,1.23
INSPIRA MC MULLICA HILL,INSPIRA MEDICAL CENTER MULLICA HILL,3.033333333333333,7.792009132420091,GLOUCESTER,3.176320941123924,3.18
JERSEY CITY MC,JERSEY CITY MEDICAL CENTER,3.1666666666666665,11.684946727549468,HUDSON,4.700741227606627,4.7
MONMOUTH MC,MONMOUTH MEDICAL CENTER,2.15,3.585842394358923,OCEAN,1.5739538343625952,1.57
COOPERMAN BARNABAS MC,COOPERMAN BARNABAS MEDICAL CENTER,2.0,8.347449264332825,ESSEX,3.453229237293142,3.45
JFK UNIVERSITY MC,JFK UNIVERSITY MEDICAL CENTER,3.2666666666666666,4.684900046740733,MIDDLESEX,1.9532380481257121,1.95
CENTRASTATE MC,CENTRASTATE MEDICAL CENTER,3.65,3.769941765278843,MONMOUTH,1.5808100486700611,1.58
BAYSHORE MC,BAYSHORE MEDICAL CENTER,2.7666666666666666,2.7489158705158223,MONMOUTH,1.2060281457849413,1.21
HUDSON REGIONAL HOSP,HUDSON REGIONAL HOSPITAL,2.9,3.9335464231354647,HUDSON,1.6706136190332275,1.67
